"C_ID"|"C_ID"|"C_ACTUALARRIVAL"|"C_ACTUALDEPARTURE"
"73f316ac79c18950000001288d3309c000ca"|"73f316ac79c18950000001288d3309b000c9"|09.04.10 08:05:16,000000000|09.04.10 07:26:26,000000000
"73f316ac79c18950000001288d3309df00cb"|"73f316ac79c18950000001288d3309c000ca"|09.04.10 09:12:28,000000000|09.04.10 08:35:16,000000000
"73f316ac79c18950000001288d3315f500cd"|"73f316ac79c18950000001288d3315e500cc"|09.04.10 06:00:00,000000000|09.04.10 05:54:44,000000000
"73f316ac79c18950000001288d33161400ce"|"73f316ac79c18950000001288d3315f500cd"|09.04.10 06:40:56,000000000|09.04.10 06:20:00,000000000
"73f316ac79c18950000001288d33162400cf"|"73f316ac79c18950000001288d33161400ce"|09.04.10 09:16:55,000000000|09.04.10 09:10:56,000000000
"73f316ac79c18950000001288d33163300d0"|"73f316ac79c18950000001288d33162400cf"|09.04.10 10:08:45,000000000|09.04.10 09:46:55,000000000
"73f316ac79c18950000001288d33164300d1"|"73f316ac79c18950000001288d33163300d0"|09.04.10 11:47:29,000000000|09.04.10 10:18:45,000000000
"73f316ac79c18950000001288d33165200d2"|"73f316ac79c18950000001288d33164300d1"|09.04.10 14:06:59,000000000|09.04.10 11:57:29,000000000
"73f316ac79c18950000001288d33166200d3"|"73f316ac79c18950000001288d33165200d2"|09.04.10 14:16:59,000000000|09.04.10 14:16:59,000000000
"73f316ac79c18950000001288d33167200d4"|"73f316ac79c18950000001288d33166200d3"|09.04.10 15:57:26,000000000|09.04.10 14:26:59,000000000
"73f316ac79c18950000001288d33168100d5"|"73f316ac79c18950000001288d33167200d4"|09.04.10 16:07:26,000000000|09.04.10 16:07:26,000000000
"73f316ac79c18950000001288d33169100d6"|"73f316ac79c18950000001288d33168100d5"|09.04.10 16:18:30,000000000|09.04.10 16:17:26,000000000
"73f316ac79c18950000001288d3316a100d7"|"73f316ac79c18950000001288d33169100d6"|09.04.10 16:53:41,000000000|09.04.10 16:28:30,000000000
"73f316ac79c18950000001288d332ae400d9"|"73f316ac79c18950000001288d332ad400d8"|09.04.10 06:00:00,000000000|09.04.10 05:45:12,000000000
"73f316ac79c18950000001288d332af400da"|"73f316ac79c18950000001288d332ae400d9"|09.04.10 07:40:11,000000000|09.04.10 06:20:00,000000000
"73f316ac79c18950000001288d332b0300db"|"73f316ac79c18950000001288d332af400da"|09.04.10 08:29:26,000000000|09.04.10 07:50:11,000000000
"73f316ac79c18950000001288d332b1300dc"|"73f316ac79c18950000001288d332b0300db"|09.04.10 09:11:27,000000000|09.04.10 08:59:26,000000000
"73f316ac79c18950000001288d332b2300dd"|"73f316ac79c18950000001288d332b1300dc"|09.04.10 09:40:30,000000000|09.04.10 09:21:27,000000000
"73f316ac79c18950000001288d332b3200de"|"73f316ac79c18950000001288d332b2300dd"|09.04.10 10:21:13,000000000|09.04.10 10:20:30,000000000
"73f316ac79c18950000001288d332b5100df"|"73f316ac79c18950000001288d332b3200de"|09.04.10 11:05:52,000000000|09.04.10 10:41:13,000000000
"73f316ac79c18950000001288d2c02dc001b"|"73f316ac79c18950000001288d2c02cc001a"|02.04.10 12:00:23,000000000|02.04.10 12:00:23,000000000
"73f316ac79c18950000001288d3192330010"|"73f316ac79c18950000001288d319223000f"|07.04.10 06:12:59,000000000|07.04.10 05:22:13,000000000
"73f316ac79c18950000001288d3192430011"|"73f316ac79c18950000001288d3192330010"|07.04.10 07:20:06,000000000|07.04.10 06:22:59,000000000
"73f316ac79c18950000001288d3192520012"|"73f316ac79c18950000001288d3192430011"|07.04.10 08:13:28,000000000|07.04.10 07:50:06,000000000
"73f316ac79c18950000001288d31a4250014"|"73f316ac79c18950000001288d31a4150013"|07.04.10 08:58:53,000000000|07.04.10 08:13:28,000000000
"73f316ac79c18950000001288d31a4340015"|"73f316ac79c18950000001288d31a4250014"|07.04.10 10:00:46,000000000|07.04.10 09:08:53,000000000
"73f316ac79c18950000001288d31a4440016"|"73f316ac79c18950000001288d31a4340015"|07.04.10 11:07:46,000000000|07.04.10 10:20:46,000000000
